time,overallAccuracy,sensitivity,specificity,precision,npv,trainingduration
2022-06-14 23:21:35.942135,86.36363636363636,0.5,1.0,1.0,0.8421052631578947,1.2004363536834717
2022-06-14 23:21:39.419062,77.27272727272727,0.3333333333333333,0.9375,0.6666666666666666,0.7894736842105263,1.116029977798462
2022-06-14 23:21:42.969178,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.1040966510772705
2022-06-14 23:21:46.432751,72.72727272727273,0.16666666666666666,0.9375,0.5,0.75,1.1040079593658447
2022-06-14 23:21:49.884856,77.27272727272727,0.5,0.875,0.6,0.8235294117647058,1.0860939025878906
2022-06-14 23:21:53.380687,81.81818181818183,0.8333333333333334,0.8125,0.625,0.9285714285714286,1.1190223693847656
2022-06-14 23:21:56.836492,86.36363636363636,0.6666666666666666,0.9375,0.8,0.8823529411764706,1.1030659675598145
2022-06-14 23:22:00.300429,72.72727272727273,0.3333333333333333,0.875,0.5,0.7777777777777778,1.0960683822631836
2022-06-14 23:22:03.811045,72.72727272727273,0.16666666666666666,0.9375,0.5,0.75,1.112036943435669
2022-06-14 23:22:07.233649,72.72727272727273,0.3333333333333333,0.875,0.5,0.7777777777777778,1.0491926670074463
2022-06-14 23:22:10.662103,90.9090909090909,0.8333333333333334,0.9375,0.8333333333333334,0.9375,1.0711469650268555
2022-06-14 23:22:14.079416,86.36363636363636,0.6666666666666666,0.9375,0.8,0.8823529411764706,1.075143814086914
2022-06-14 23:22:17.520245,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.0821216106414795
2022-06-14 23:22:20.955036,72.72727272727273,0.3333333333333333,0.875,0.5,0.7777777777777778,1.0700995922088623
2022-06-14 23:22:24.410494,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.0910985469818115
2022-06-14 23:22:27.837086,68.18181818181817,0.5,0.75,0.42857142857142855,0.8,1.0791335105895996
2022-06-14 23:22:31.281226,72.72727272727273,0.6666666666666666,0.75,0.5,0.8571428571428571,1.0771145820617676
2022-06-14 23:22:34.783695,81.81818181818183,0.5,0.9375,0.75,0.8333333333333334,1.1005966663360596
2022-06-14 23:22:38.275951,77.27272727272727,0.5,0.875,0.6,0.8235294117647058,1.081073522567749
2022-06-14 23:22:41.802502,86.36363636363636,0.6666666666666666,0.9375,0.8,0.8823529411764706,1.1279926300048828
2022-06-14 23:22:45.253072,72.72727272727273,0.8333333333333334,0.6875,0.5,0.9166666666666666,1.0611627101898193
2022-06-14 23:22:48.776269,77.27272727272727,0.6666666666666666,0.8125,0.5714285714285714,0.8666666666666667,1.1011035442352295
2022-06-14 23:22:52.248942,77.27272727272727,0.8333333333333334,0.75,0.5555555555555556,0.9230769230769231,1.0911333560943604
2022-06-14 23:22:55.712328,77.27272727272727,0.5,0.875,0.6,0.8235294117647058,1.075089931488037
2022-06-14 23:22:59.188256,72.72727272727273,0.3333333333333333,0.875,0.5,0.7777777777777778,1.0820720195770264
2022-06-14 23:23:02.622141,81.81818181818183,0.5,0.9375,0.75,0.8333333333333334,1.0771207809448242
2022-06-14 23:23:06.168278,63.63636363636363,0.3333333333333333,0.75,0.3333333333333333,0.75,1.0941047668457031
2022-06-14 23:23:09.592465,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.080125093460083
2022-06-14 23:23:13.007018,86.36363636363636,0.6666666666666666,0.9375,0.8,0.8823529411764706,1.0821244716644287
2022-06-14 23:23:16.470434,77.27272727272727,0.16666666666666666,1.0,1.0,0.7619047619047619,1.0930883884429932
2022-06-18 09:44:53.221598,81.81818181818183,0.3333333333333333,1.0,1.0,0.8,1.3159229755401611
2022-06-18 12:30:46.378014,77.27272727272727,0.5,0.875,0.6,0.8235294117647058,1.1751775741577148
2022-06-18 13:11:12.521486,77.27272727272727,0.3333333333333333,0.9375,0.6666666666666666,0.7894736842105263,1.0910804271697998
2022-06-18 13:13:34.527246,86.36363636363636,0.5,1.0,1.0,0.8421052631578947,1.111992359161377
2022-06-19 14:09:12.775134,68.18181818181817,0.3333333333333333,0.8125,0.4,0.7647058823529411,2.040349006652832
2022-06-19 14:12:53.594452,86.36363636363636,0.6666666666666666,0.9375,0.8,0.8823529411764706,3.411860227584839
2022-06-19 14:22:25.191402,81.81818181818183,0.8333333333333334,0.8125,0.625,0.9285714285714286,1.983689308166504
2022-06-19 14:24:56.939157,77.27272727272727,0.6666666666666666,0.8125,0.5714285714285714,0.8666666666666667,3.632277488708496
2022-06-19 16:40:15.911919,81.81818181818183,0.3333333333333333,1.0,1.0,0.8,1.1219923496246338
2022-06-19 16:59:57.685929,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.0721344947814941
2022-06-19 17:09:47.926448,81.81818181818183,0.6666666666666666,0.875,0.6666666666666666,0.875,1.4839937686920166
